date,region,route_id,origin_city,destination_city,carrier,fuel_used_l,fuel_price_per_l,delay_hr,delay_reason,shipment_volume_tons,on_time_delivery,temperature_controlled,distance_km
2024-11-01,South,R001,Miami,Atlanta,MoveWest,697,1.48,1.1,None,52,Yes,Yes,264
2024-11-01,North,R005,Chicago,Milwaukee,NorthernHaul,915,1.47,1.0,None,66,Yes,No,454
2024-11-01,North,R001,Minneapolis,Detroit,QuickShip,725,1.37,0.7,None,57,Yes,Yes,335
2024-11-02,East,R002,New York,Boston,QuickShip,695,1.36,0.4,None,65,Yes,No,473
2024-11-02,West,R004,Seattle,Portland,QuickShip,777,1.46,0.8,None,63,Yes,Yes,694
2024-11-02,North,R002,Chicago,Milwaukee,QuickShip,768,1.41,1.0,None,59,Yes,No,845
2024-11-02,North,R003,Minneapolis,Detroit,MoveWest,935,1.44,0.0,None,57,Yes,No,423
2024-11-03,South,R004,New Orleans,Memphis,NorthernHaul,784,1.61,0.2,None,51,Yes,Yes,568
2024-11-04,North,R004,Chicago,Milwaukee,NorthernHaul,792,1.41,1.2,None,52,Yes,No,808
2024-11-04,East,R001,New York,Boston,GoSouth,670,1.62,0.4,None,70,Yes,No,496
2024-11-04,East,R002,New York,Boston,QuickShip,802,1.4,0.1,None,49,Yes,No,633
2024-11-05,South,R005,New Orleans,Memphis,GoSouth,704,1.6,1.4,None,53,Yes,No,606
2024-11-06,West,R004,Seattle,Portland,FastFreight,666,1.49,0.9,None,55,Yes,No,647
2024-11-06,East,R004,New York,Boston,NorthernHaul,719,1.42,1.0,None,69,Yes,No,504
2024-11-06,South,R005,New Orleans,Memphis,NorthernHaul,800,1.65,1.5,None,53,Yes,No,836
2024-11-06,East,R001,New York,Boston,NorthernHaul,915,1.47,0.4,None,60,Yes,Yes,767
2024-11-07,South,R002,New Orleans,Memphis,NorthernHaul,703,1.38,0.8,None,67,Yes,No,462
2024-11-07,West,R005,Los Angeles,San Francisco,GoSouth,679,1.59,1.0,None,54,Yes,No,509
2024-11-07,West,R001,San Diego,Las Vegas,TransEast,698,1.39,0.1,None,52,Yes,No,777
2024-11-07,South,R003,Houston,Dallas,FastFreight,906,1.62,0.0,None,71,Yes,No,331
2024-11-08,West,R002,San Diego,Las Vegas,TransEast,724,1.61,0.5,None,64,Yes,Yes,576
2024-11-08,West,R002,San Diego,Las Vegas,FastFreight,744,1.42,1.2,None,49,Yes,Yes,732
2024-11-08,South,R002,Houston,Dallas,FastFreight,933,1.52,0.5,None,74,Yes,Yes,503
2024-11-09,West,R005,San Diego,Las Vegas,NorthernHaul,675,1.61,1.2,None,46,Yes,No,688
2024-11-09,West,R002,Seattle,Portland,NorthernHaul,764,1.57,0.6,None,71,Yes,No,278
2024-11-09,South,R003,Houston,Dallas,NorthernHaul,665,1.48,1.0,None,45,Yes,No,350
2024-11-10,North,R005,Toronto,Montreal,TransEast,884,1.64,1.1,None,47,Yes,Yes,398
2024-11-11,North,R005,Chicago,Milwaukee,FastFreight,924,1.44,0.6,None,59,Yes,No,832
2024-11-11,West,R005,San Diego,Las Vegas,QuickShip,750,1.44,0.2,None,70,Yes,Yes,588
2024-11-11,West,R004,Los Angeles,San Francisco,QuickShip,695,1.51,0.1,None,54,Yes,No,294
2024-11-11,East,R003,New York,Washington,TransEast,850,1.51,0.9,None,64,Yes,No,331
2024-11-12,West,R002,Seattle,Portland,FastFreight,800,1.54,1.0,None,50,Yes,No,318
2024-11-12,North,R003,Chicago,Milwaukee,GoSouth,731,1.49,1.0,None,58,Yes,No,737
2024-11-12,East,R001,Boston,Philadelphia,FastFreight,879,1.65,0.9,None,52,Yes,No,305
2024-11-12,West,R002,Los Angeles,San Francisco,TransEast,795,1.53,1.2,None,66,Yes,Yes,564
2024-11-13,North,R005,Toronto,Montreal,MoveWest,899,1.35,1.2,None,57,Yes,No,274
2024-11-13,West,R004,San Diego,Las Vegas,QuickShip,895,1.53,7.7,Mechanical,72,No,No,314
2024-11-13,West,R003,Los Angeles,San Francisco,QuickShip,916,1.36,4.2,Weather,58,No,Yes,552
2024-11-14,North,R005,Chicago,Milwaukee,MoveWest,690,1.53,1.3,None,63,Yes,No,387
2024-11-14,East,R002,New York,Boston,MoveWest,783,1.52,1.4,None,63,Yes,No,842
2024-11-15,East,R002,Boston,Philadelphia,MoveWest,782,1.65,7.1,Traffic,46,No,No,654
2024-11-15,East,R001,New York,Boston,QuickShip,878,1.42,1.4,None,63,Yes,Yes,482
2024-11-16,West,R005,Los Angeles,San Francisco,FastFreight,717,1.38,5.6,Traffic,55,No,No,656
2024-11-16,East,R005,Boston,Philadelphia,GoSouth,768,1.37,0.9,None,61,Yes,No,753
2024-11-16,West,R005,Seattle,Portland,NorthernHaul,668,1.38,1.3,None,64,Yes,No,763
2024-11-17,East,R002,Boston,Philadelphia,MoveWest,913,1.41,0.2,None,70,Yes,Yes,466
2024-11-17,North,R004,Minneapolis,Detroit,TransEast,756,1.39,0.9,None,69,Yes,No,508
2024-11-17,East,R002,New York,Boston,TransEast,775,1.41,1.3,None,71,Yes,Yes,582
2024-11-17,East,R001,Boston,Philadelphia,FastFreight,752,1.59,0.2,None,55,Yes,No,782
2024-11-18,West,R004,San Diego,Las Vegas,MoveWest,715,1.47,0.2,None,59,Yes,No,654
2024-11-18,West,R002,San Diego,Las Vegas,GoSouth,756,1.41,0.0,None,56,Yes,No,478
2024-11-18,East,R003,New York,Washington,FastFreight,829,1.48,0.9,None,61,Yes,No,576
2024-11-19,East,R005,New York,Washington,GoSouth,657,1.53,0.2,None,63,Yes,No,275
2024-11-19,West,R004,Seattle,Portland,GoSouth,889,1.5,0.3,None,72,Yes,No,625
2024-11-20,East,R004,Boston,Philadelphia,FastFreight,802,1.42,0.8,None,49,Yes,No,725
2024-11-21,South,R005,New Orleans,Memphis,GoSouth,733,1.38,0.2,None,68,Yes,No,776
2024-11-21,East,R001,Boston,Philadelphia,QuickShip,664,1.48,0.1,None,63,Yes,No,755
2024-11-22,North,R005,Minneapolis,Detroit,FastFreight,892,1.63,1.1,None,61,Yes,Yes,515
2024-11-23,North,R001,Minneapolis,Detroit,NorthernHaul,877,1.44,1.4,None,67,Yes,No,699
2024-11-23,East,R003,New York,Washington,QuickShip,867,1.4,0.4,None,60,Yes,No,410
2024-11-24,North,R002,Minneapolis,Detroit,TransEast,775,1.43,3.9,Loading_Delay,58,No,No,351
2024-11-25,South,R002,Miami,Atlanta,TransEast,879,1.44,1.2,None,56,Yes,No,735
2024-11-25,South,R004,New Orleans,Memphis,TransEast,835,1.59,3.2,Traffic,50,No,No,373
2024-11-25,South,R003,Houston,Dallas,NorthernHaul,917,1.36,1.0,None,62,Yes,Yes,754
2024-11-26,North,R005,Toronto,Montreal,GoSouth,913,1.37,4.8,Weather,57,No,No,258
2024-11-26,South,R004,Miami,Atlanta,MoveWest,835,1.46,0.0,None,74,Yes,No,335
2024-11-26,East,R003,New York,Boston,NorthernHaul,754,1.59,1.0,None,73,Yes,Yes,284
2024-11-27,North,R001,Minneapolis,Detroit,FastFreight,907,1.53,1.2,None,64,Yes,No,516
2024-11-27,East,R005,Boston,Philadelphia,NorthernHaul,882,1.4,0.3,None,63,Yes,No,518
2024-11-28,North,R003,Minneapolis,Detroit,FastFreight,660,1.38,0.8,None,56,Yes,No,405
2024-11-28,South,R001,Miami,Atlanta,FastFreight,836,1.53,1.5,None,70,Yes,No,436
2024-11-29,West,R003,San Diego,Las Vegas,GoSouth,791,1.58,0.5,None,70,Yes,No,436
