date,department,category,subcategory,amount,currency,cost_type,budget_allocated,variance,variance_pct,approved_by,payment_status,notes
2024-11-01,Sales,Travel,Travel,10042,USD,Variable,10859,-817,-7.5,Manager,Paid,Sales - Travel expense
2024-11-01,IT,Support,Support,6814,USD,Variable,7169,-355,-5.0,Manager,Paid,IT - Support expense
2024-11-01,Marketing,Events,Events,1075,USD,Variable,1157,-82,-7.1,Manager,Paid,Marketing - Events expense
2024-11-01,Sales,Commissions,Commissions,8704,USD,Variable,8485,219,2.6,Manager,Paid,Sales - Commissions expense
2024-11-01,IT,Hardware,Hardware,5962,USD,Variable,6203,-241,-3.9,COO,Pending,IT - Hardware expense
2024-11-01,Logistics,Warehouse_Rent,Warehouse_Rent,2993,USD,Fixed,2986,7,0.2,Department_Head,Paid,Logistics - Warehouse_Rent expense
2024-11-02,IT,Cloud_Services,Subscription,7380,USD,Fixed,7879,-499,-6.3,CFO,Pending,IT - Cloud_Services expense
2024-11-02,Operations,Utilities,Utilities,3651,USD,Variable,4021,-370,-9.2,Manager,Pending,Operations - Utilities expense
2024-11-02,Marketing,Digital_Marketing,Digital_Marketing,10832,USD,Fixed,12319,-1487,-12.1,COO,Paid,Marketing - Digital_Marketing expense
2024-11-02,Logistics,Insurance,Insurance,2285,USD,Fixed,2432,-147,-6.0,Department_Head,Pending,Logistics - Insurance expense
2024-11-03,Sales,Marketing_Materials,Marketing_Materials,9739,USD,Fixed,10137,-398,-3.9,COO,Pending,Sales - Marketing_Materials expense
2024-11-03,Sales,Commissions,Commissions,9373,USD,Fixed,9292,81,0.9,COO,Overdue,Sales - Commissions expense
2024-11-03,IT,Hardware,Hardware,9033,USD,Fixed,10100,-1067,-10.6,Department_Head,Paid,IT - Hardware expense
2024-11-03,Marketing,Digital_Marketing,Digital_Marketing,1070,USD,Variable,1036,34,3.3,Department_Head,Paid,Marketing - Digital_Marketing expense
2024-11-03,IT,Hardware,Hardware,2044,USD,Fixed,2310,-266,-11.5,CFO,Paid,IT - Hardware expense
2024-11-04,Operations,Contract_Services,Contract_Services,5912,USD,Fixed,6748,-836,-12.4,Manager,Paid,Operations - Contract_Services expense
2024-11-04,Logistics,Driver_Salaries,Payroll,84229,USD,Fixed,94116,-9887,-10.5,Department_Head,Paid,Logistics - Driver_Salaries expense
2024-11-05,HR,Recruitment,Recruitment,9513,USD,Fixed,10155,-642,-6.3,COO,Paid,HR - Recruitment expense
2024-11-05,Marketing,Advertising,Advertising,7996,USD,Variable,9164,-1168,-12.7,COO,Paid,Marketing - Advertising expense
2024-11-05,Marketing,Digital_Marketing,Digital_Marketing,9890,USD,Variable,11274,-1384,-12.3,COO,Paid,Marketing - Digital_Marketing expense
2024-11-05,Marketing,Advertising,Advertising,6099,USD,Fixed,6710,-611,-9.1,CFO,Paid,Marketing - Advertising expense
2024-11-05,Marketing,PR,PR,6947,USD,Variable,7218,-271,-3.8,CFO,Paid,Marketing - PR expense
2024-11-06,IT,Support,Support,5083,USD,Variable,5741,-658,-11.5,Manager,Paid,IT - Support expense
2024-11-06,Marketing,PR,PR,8840,USD,Variable,9753,-913,-9.4,Manager,Paid,Marketing - PR expense
2024-11-06,HR,Recruitment,Recruitment,7348,USD,Fixed,7447,-99,-1.3,COO,Approved,HR - Recruitment expense
2024-11-06,Marketing,Events,Events,8977,USD,Variable,8669,308,3.6,COO,Overdue,Marketing - Events expense
2024-11-06,Marketing,Digital_Marketing,Digital_Marketing,8214,USD,Variable,7893,321,4.1,Manager,Paid,Marketing - Digital_Marketing expense
2024-11-07,Operations,Utilities,Utilities,3109,USD,Variable,3016,93,3.1,Department_Head,Approved,Operations - Utilities expense
2024-11-07,IT,Support,Support,10692,USD,Variable,10551,141,1.3,COO,Paid,IT - Support expense
2024-11-07,Marketing,PR,PR,7448,USD,Fixed,7091,357,5.0,Department_Head,Paid,Marketing - PR expense
2024-11-07,Sales,Client_Entertainment,Client_Entertainment,10055,USD,Variable,10303,-248,-2.4,Department_Head,Paid,Sales - Client_Entertainment expense
2024-11-07,Operations,Utilities,Utilities,4213,USD,Variable,4007,206,5.1,Department_Head,Paid,Operations - Utilities expense
2024-11-08,IT,Hardware,Hardware,5693,USD,Fixed,6123,-430,-7.0,COO,Approved,IT - Hardware expense
2024-11-08,Logistics,Maintenance,Maintenance,10811,USD,Variable,12332,-1521,-12.3,COO,Paid,Logistics - Maintenance expense
2024-11-08,Marketing,Digital_Marketing,Digital_Marketing,6413,USD,Fixed,7225,-812,-11.2,Manager,Paid,Marketing - Digital_Marketing expense
2024-11-08,HR,Benefits,Benefits,3672,USD,Variable,4163,-491,-11.8,COO,Paid,HR - Benefits expense
